date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:31:34	17175/17175	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:51%20GMT	https://templates.envytheme.com/erudex/default/my-addresses.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/my-addresses.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:34	23026/23026	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:49%20GMT	https://templates.envytheme.com/erudex/default/demo-product.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/demo-product.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:34	18614/18614	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:49%20GMT	https://templates.envytheme.com/erudex/default/feedback.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/feedback.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:34	18320/18320	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:56%20GMT	https://templates.envytheme.com/erudex/default/terms-of-service.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/terms-of-service.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:35	18294/18294	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:52%20GMT	https://templates.envytheme.com/erudex/default/privacy-policy.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/privacy-policy.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:35	22797/22797	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:53%20GMT	https://templates.envytheme.com/erudex/default/search-page.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/search-page.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:35	15605/15605	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:47%20GMT	https://templates.envytheme.com/erudex/default/404.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/404.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:35	5178/5178	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:49%20GMT	https://templates.envytheme.com/erudex/default/coming-soon.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/coming-soon.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:36	21745/21745	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:47%20GMT	https://templates.envytheme.com/erudex/default/blogs-without-right-sidebar.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/blogs-without-right-sidebar.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:36	23294/23294	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:47%20GMT	https://templates.envytheme.com/erudex/default/blogs-right-sidebar.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/blogs-right-sidebar.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:36	23193/23193	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:56%20GMT	https://templates.envytheme.com/erudex/default/single-blog.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/single-blog.html	(from https://templates.envytheme.com/erudex/default/index.html)
